Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2017,Kentucky,0,0.2,11,2,9.2,16.5,0,2,10,3,51,15,51,4455.59,417300,3440100
2017,Louisiana,0,0.4,10,2,10.3,17.9,0,5,9,3,53,16,53,4673.673,532300,3211000
2017,Maine,0,0.2,8,1,5.6,8.3,0,2,8,1,31,8,31,1335.743,141400,1044400
2017,Maryland,0,0.2,15,3,7.8,0.0,0,2,14,4,43,0,43,6028.186,471500,4161500
2017,Massachusetts,0,0.2,12,1,6.4,0.0,0,2,11,1,36,0,36,6863.56,473400,4744000
2017,Michigan,0,0.4,15,3,8.8,21.5,0,5,14,4,49,20,49,9976.752,1386700,7221800
2017,Minnesota,0,0.3,12,1,6.1,23.1,0,3,11,1,34,21,34,5569.283,663800,4097300
2017,Mississippi,0,0.3,10,1,9.2,0.0,0,3,9,1,51,0,51,2990.674,332700,2220100
2017,Missouri,0,0.3,15,2,8.1,21.4,0,3,14,3,45,19,45,6111.382,804000,4852000
2017,Montana,0,0.2,2,2,8.8,16.7,0,2,2,3,49,15,49,1053.862,128700,826900
2017,Nebraska,0,0.3,0,2,9.6,22.7,0,3,0,3,52,21,52,1916.998,247900,1557500
2017,Nevada,0,0.3,25,1,6.7,20.7,0,3,24,1,37,19,37,2972.097,196500,2052600
2017,New Hampshire,0,0.2,4,1,5.1,10.2,0,2,4,1,28,9,28,1350.395,135500,1171800
2017,New Jersey,0,0.3,18,0,9.0,0.0,0,3,17,0,50,0,50,8888.147,608600,6248300
2017,New Mexico,0,0.2,10,1,8.0,27.8,0,2,9,1,44,25,44,2092.844,198400,1572500
2017,New York,0,0.2,17,1,6.0,0.0,0,2,16,1,33,0,33,19593.849,1158300,10182400
2017,North Carolina,0,0.3,11,2,7.9,12.5,0,3,10,3,44,11,44,10275.758,851100,7387200
2017,North Dakota,0,0.2,5,2,5.7,13.5,0,2,5,3,32,12,32,756.755,132400,620300
2017,Ohio,0,0.2,16,1,9.3,14.0,0,2,15,1,51,13,51,11665.706,1118000,8937300
2017,Oklahoma,0,0.3,12,2,8.3,16.9,0,3,11,3,46,15,46,3933.602,652400,3413400
2017,Oregon,0,0.3,15,1,0.0,17.5,0,3,14,1,0,16,16,4147.294,299800,3359800
2017,Pennsylvania,0,0.2,11,2,9.3,15.1,0,2,10,3,51,14,51,12794.679,968200,8953000
2017,Rhode Island,0,0.4,12,0,6.1,0.0,0,5,11,0,34,0,34,1056.554,62600,790100
2017,South Carolina,0,0.2,9,0,7.5,14.1,0,2,8,0,42,13,42,5027.102,470900,3977400
2017,South Dakota,0,0.2,6,1,5.5,16.7,0,2,6,1,31,15,31,873.732,131900,741600
2017,Tennessee,0,0.3,13,4,7.4,16.1,0,3,12,6,41,15,41,6714.748,558700,4978800
2017,Texas,0,0.3,11,3,9.2,0.0,0,3,10,4,51,0,51,28291.024,3057500,19235700
