Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population
2003,Delaware,0,0.5,27,12,0.0,20.9,0,6,25,17,0,19,25,818.003
2003,District Of Columbia,0,0.9,32,13,0.0,0.0,0,10,30,18,0,0,30,
2003,Florida,0,0.6,15,6,0.0,20.8,0,7,14,8,0,19,19,17004.085
2003,Georgia,0,0.5,17,6,0.0,22.1,0,6,16,8,0,20,20,8622.793
2003,Hawaii,0,0.5,8,20,0.0,0.0,0,6,8,28,0,0,28,1251.154
2003,Idaho,0,0.9,13,19,0.0,21.7,0,10,12,26,0,20,26,1363.38
2003,Illinois,0,0.7,28,9,0.0,28.2,0,8,26,13,0,26,26,12556.006
2003,Indiana,0,0.7,21,13,0.0,26.5,0,8,20,18,0,24,24,6196.638
2003,Iowa,0,0.5,12,6,0.0,25.9,0,6,11,8,0,24,24,2941.999
2003,Kansas,0,0.3,14,5,0.0,21.7,0,3,13,7,0,20,20,2723.004
2003,Kentucky,0,0.4,18,8,0.0,24.6,0,5,17,11,0,22,22,4117.17
2003,Louisiana,0,0.8,15,7,0.0,0.0,0,9,14,10,0,0,14,4521.042
2003,Maine,0,0.4,19,4,0.0,15.5,0,5,18,6,0,14,18,1306.513
2003,Maryland,0,0.4,24,12,0.0,16.5,0,5,23,17,0,15,23,5496.269
2003,Massachusetts,0,0.5,18,7,0.0,0.0,0,6,17,10,0,0,17,6422.565
2003,Michigan,0,0.4,27,7,0.0,45.0,0,5,25,10,0,41,41,10041.152
2003,Minnesota,0,0.3,12,3,0.0,25.5,0,3,11,4,0,23,23,5053.572
2003,Mississippi,0,0.4,6,4,0.0,0.0,0,5,6,6,0,0,6,2868.312
2003,Missouri,0,0.5,18,10,0.0,39.7,0,6,17,14,0,36,36,5709.403
2003,Montana,0,0.8,6,7,0.0,20.8,0,9,6,10,0,19,19,919.63
2003,Nebraska,0,0.6,0,2,0.0,0.0,0,7,0,3,0,0,7,1738.643
2003,Nevada,0,0.6,19,1,0.0,22.4,0,7,18,1,0,20,20,2248.85
2003,New Hampshire,0,0.5,16,9,0.0,0.0,0,6,15,13,0,0,15,1279.84
2003,New Jersey,0,0.7,30,9,0.0,0.0,0,8,28,13,0,0,28,8601.402
2003,New Mexico,0,0.5,15,3,0.0,45.4,0,6,14,4,0,41,41,1877.574
2003,New York,0,0.6,32,9,0.0,21.2,0,7,30,13,0,19,30,19175.939
2003,North Carolina,0,0.6,23,8,0.0,20.0,0,7,22,11,0,18,22,8422.501
2003,North Dakota,0,0.0,5,4,0.0,6.5,0,0,5,6,0,6,6,638.817
2003,Ohio,0,0.5,27,13,0.0,21.7,0,6,25,18,0,20,25,11434.788
2003,Oklahoma,0,0.4,14,7,0.0,23.8,0,5,13,10,0,22,22,3504.892
2003,Oregon,0,1.0,19,2,0.0,0.0,0,11,18,3,0,0,18,3547.376
2003,Pennsylvania,0,0.3,21,14,0.0,22.1,0,3,20,19,0,20,20,12374.658
2003,Rhode Island,0,0.6,14,9,0.0,0.0,0,7,13,13,0,0,13,1071.342
2003,South Carolina,0,0.4,11,4,0.0,26.5,0,5,10,6,0,24,24,4150.297
2003,South Dakota,0,0.0,13,2,0.0,31.7,0,0,12,3,0,29,29,763.729
2003,Tennessee,0,0.8,14,10,0.0,40.3,0,9,13,14,0,37,37,5847.812
2003,Texas,0,0.5,17,5,0.0,47.0,0,6,16,7,0,43,43,22030.931
2003,Utah,0,0.8,31,4,0.0,0.0,0,9,29,6,0,0,29,2360.137
2003,Vermont,0,0.5,20,8,0.0,0.0,0,6,19,11,0,0,19,617.858
2003,Virginia,0,0.5,24,8,0.0,0.0,0,6,23,11,0,0,23,7366.977
2003,Washington,0,1.0,15,4,0.0,0.0,0,11,14,6,0,0,14,6104.115
2003,West Virginia,0,0.8,25,20,0.0,26.0,0,9,24,28,0,24,28,1812.295
2003,Wisconsin,0,0.5,14,6,0.0,0.0,0,6,13,8,0,0,13,5479.203
2003,Wyoming,0,0.2,8,7,0.0,0.0,0,2,8,10,0,0,10,503.453
2003,Puerto Rico,0,1.5,10,5,0.0,28.6,0,17,9,7,0,26,26,
2003,Virgin Islands,0,0.0,0,5,0.0,0.0,0,0,0,7,0,0,7,
2003,Country Of Mexico,0,1.0,30,7,0.0,123.9,0,11,28,10,0,85,85,
2003,Canada,0,0.0,12,5,0.0,0.0,0,0,11,7,0,0,11,
