Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name,,
40.816,-73.902,WGS84,Propionaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.189189,0.11734,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acrolein - Unverified,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.35,0.120712,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acrolein - Unverified,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.361111,0.127117,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acrolein - Unverified,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.342857,0.135659,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Butyraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.22173,0.115017,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Butyraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.231784,0.134637,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Butyraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.225405,0.117395,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methacrolein,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.097297,0.055209,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methacrolein,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.094595,0.052419,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methacrolein,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.097297,0.055209,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trans-Crotonaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.045946,0.114491,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trans-Crotonaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.037838,0.108912,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trans-Crotonaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.045946,0.112038,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Hexanaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.340541,0.164079,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Hexanaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.354054,0.1574,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Hexanaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.340541,0.169082,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Valeraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.22973,0.145038,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Valeraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.227027,0.14269,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Valeraldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.22973,0.141156,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.762162,0.60615,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.810811,0.593382,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.737838,0.666396,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Ethylene oxide,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - PRECONC: GC/MS,2020,Parts per billion Carbon,36,59,0.120278,0.052399,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Ethylene oxide,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - PRECONC: GC/MS,2020,Parts per billion Carbon,24,49,0.124167,0.048894,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Ethylene oxide,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - PRECONC: GC/MS,2020,Parts per billion Carbon,23,47,0.13087,0.052735,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.538889,0.049441,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.541667,0.05,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.542857,0.05021,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.15,0.060945,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.191667,0.076997,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.148571,0.070174,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.013889,0.035074,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.019444,0.040139,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.022857,0.042604,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
